,ORIGIN,DEST,CANCELLED,DIVERTED,DELAY,DISTANCE,ORIGIN_LAT,ORIGIN_LON,DEST_LAT,DEST_LON,FL_DAY,FL_DATE,DELAY_OVERALL,DELAY_TOTAL,TIME_PERIOD
45076,ORD,LGA,False,False,True,733,41.979595,-87.90446417,40.77724306,-73.87260917,13.0,2023-01-13,1219,1219.0,Manhã
36389,RNO,DFW,False,False,True,1345,39.49857611,-119.7680647,32.89595056,-97.0372,16.0,2023-01-16,1219,1219.0,Manhã
434693,SAF,DFW,False,False,True,551,35.61677778,-106.0881389,32.89595056,-97.0372,16.0,2023-01-16,1217,1217.0,Tarde
6669,SDF,LGA,False,False,True,659,38.17438889,-85.736,40.77724306,-73.87260917,30.0,2023-01-30,1216,1216.0,Tarde
217645,IAH,LAS,False,False,True,1222,29.98047222,-95.33972222,36.08036111,-115.1523333,19.0,2023-01-19,1214,1214.0,Manhã
61967,DEN,DFW,False,False,True,641,39.85840806,-104.6670019,32.89595056,-97.0372,18.0,2023-01-18,1213,1213.0,Manhã
185682,LAX,KOA,False,False,True,2504,33.94253611,-118.4080744,19.73876583,-156.0456314,7.0,2023-01-07,1212,1212.0,Manhã
518540,LAX,IAH,False,False,True,1379,33.94253611,-118.4080744,29.98047222,-95.33972222,8.0,2023-01-08,1209,1209.0,Manhã
63170,SBP,DFW,False,False,True,1360,35.23705806,-120.6423931,32.89595056,-97.0372,9.0,2023-01-09,1206,1206.0,Manhã
24500,SAT,ORD,False,False,True,1041,29.53369444,-98.46977778,41.979595,-87.90446417,15.0,2023-01-15,1205,1205.0,Manhã
512481,MTJ,ORD,False,False,True,1081,38.50886722,-107.8938333,41.979595,-87.90446417,23.0,2023-01-23,1204,1204.0,Manhã
85865,STT,PHL,False,False,True,1605,18.33730556,-64.97336111,39.87195278,-75.24114083,11.0,2023-01-11,1204,1204.0,Tarde
229170,ICT,LAS,False,False,True,986,37.64995889,-97.43304583,36.08036111,-115.1523333,29.0,2023-01-29,1203,1203.0,Noite
386873,MSP,LGA,False,False,True,1020,44.88054694,-93.2169225,40.77724306,-73.87260917,3.0,2023-01-03,1194,1194.0,Manhã
42705,JFK,STT,False,False,True,1623,40.63975111,-73.77892556,18.33730556,-64.97336111,2.0,2023-01-02,1193,1193.0,Manhã
